table_name,column_name,foreign_table_name,foreign_column_name,constraint_name
activities,block_id,blocks,id,activities_block_id_fkey
activities,estate_id,estates,id,activities_estate_id_fkey
annual_block_budgets,block_id,blocks,id,annual_block_budgets_block_id_fkey
annual_block_budgets,estate_id,estates,id,annual_block_budgets_estate_id_fkey
annual_budget_categories,estate_id,estates,id,annual_budget_categories_estate_id_fkey
annual_budgets,estate_id,estates,id,annual_budgets_estate_id_fkey
blocks,estate_id,estates,id,blocks_estate_id_fkey
estate_members,estate_id,estates,id,estate_members_estate_id_fkey
fertilizer_execution_items,execution_id,fertilizer_executions,id,fertilizer_execution_items_execution_id_fkey
fertilizer_execution_items,operation_id,operations,id,fertilizer_execution_items_operation_id_fkey
fertilizer_execution_items,program_item_id,fertilizer_program_items,id,fertilizer_execution_items_program_item_id_fkey
fertilizer_executions,block_id,blocks,id,fertilizer_executions_block_id_fkey
fertilizer_executions,estate_id,estates,id,fertilizer_executions_estate_id_fkey
fertilizer_executions,program_id,fertilizer_programs,id,fertilizer_executions_program_id_fkey
fertilizer_program_items,program_id,fertilizer_programs,id,fertilizer_program_items_program_id_fkey
fertilizer_programs,block_id,blocks,id,fertilizer_programs_block_id_fkey
fertilizer_programs,estate_id,estates,id,fertilizer_programs_estate_id_fkey
harvests,block_id,blocks,id,harvests_block_id_fkey
harvests,estate_id,estates,id,harvests_estate_id_fkey
harvests,plan_id,plans,id,harvests_plan_id_fkey
operations,block_id,blocks,id,operations_block_id_fkey
operations,estate_id,estates,id,operations_estate_id_fkey
operations,fertilizer_program_id,fertilizer_programs,id,operations_fertilizer_program_id_fkey
operations,plan_id,plans,id,operations_plan_id_fkey
plans,block_id,blocks,id,plans_block_id_fkey
plans,estate_id,estates,id,plans_estate_id_fkey
workspace_members,estate_id,estates,id,workspace_members_estate_id_fkey
workspace_members,workspace_id,workspaces,id,workspace_members_workspace_id_fkey
