table_name,constraint_type,constraint_name,column_name,ordinal_position
activities,PRIMARY KEY,activities_pkey,id,1
annual_block_budgets,PRIMARY KEY,annual_block_budgets_pkey,id,1
annual_block_budgets,UNIQUE,annual_block_budgets_owner_id_block_id_budget_year_category_key,owner_id,1
annual_block_budgets,UNIQUE,annual_block_budgets_owner_id_block_id_budget_year_category_key,block_id,2
annual_block_budgets,UNIQUE,annual_block_budgets_owner_id_block_id_budget_year_category_key,budget_year,3
annual_block_budgets,UNIQUE,annual_block_budgets_owner_id_block_id_budget_year_category_key,category,4
annual_budget_categories,PRIMARY KEY,annual_budget_categories_pkey,id,1
annual_budget_categories,UNIQUE,annual_budget_categories_owner_id_estate_id_budget_year_cat_key,owner_id,1
annual_budget_categories,UNIQUE,annual_budget_categories_owner_id_estate_id_budget_year_cat_key,estate_id,2
annual_budget_categories,UNIQUE,annual_budget_categories_owner_id_estate_id_budget_year_cat_key,budget_year,3
annual_budget_categories,UNIQUE,annual_budget_categories_owner_id_estate_id_budget_year_cat_key,category,4
annual_budgets,PRIMARY KEY,annual_budgets_pkey,id,1
annual_budgets,UNIQUE,annual_budgets_owner_id_estate_id_budget_year_key,owner_id,1
annual_budgets,UNIQUE,annual_budgets_owner_id_estate_id_budget_year_key,estate_id,2
annual_budgets,UNIQUE,annual_budgets_owner_id_estate_id_budget_year_key,budget_year,3
blocks,PRIMARY KEY,blocks_pkey,id,1
blocks,UNIQUE,blocks_estate_id_name_key,estate_id,1
blocks,UNIQUE,blocks_estate_id_name_key,name,2
estate_members,PRIMARY KEY,estate_members_pkey,estate_id,1
estate_members,PRIMARY KEY,estate_members_pkey,user_id,2
estates,PRIMARY KEY,estates_pkey,id,1
fertilizer_execution_items,PRIMARY KEY,fertilizer_execution_items_pkey,id,1
fertilizer_executions,PRIMARY KEY,fertilizer_executions_pkey,id,1
fertilizer_program_items,PRIMARY KEY,fertilizer_program_items_pkey,id,1
fertilizer_programs,PRIMARY KEY,fertilizer_programs_pkey,id,1
harvests,PRIMARY KEY,harvests_pkey,id,1
operations,PRIMARY KEY,operations_pkey,id,1
plans,PRIMARY KEY,plans_pkey,id,1
profiles,PRIMARY KEY,profiles_pkey,id,1
workspace_members,PRIMARY KEY,workspace_members_pkey,id,1
workspace_members,UNIQUE,workspace_members_workspace_id_user_id_estate_id_key,workspace_id,1
workspace_members,UNIQUE,workspace_members_workspace_id_user_id_estate_id_key,user_id,2
workspace_members,UNIQUE,workspace_members_workspace_id_user_id_estate_id_key,estate_id,3
workspaces,PRIMARY KEY,workspaces_pkey,id,1
