schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,activities,activities_insert_access,PERMISSIVE,{authenticated},INSERT,null,"((created_by = auth.uid()) AND (EXISTS ( SELECT 1
   FROM estates e
  WHERE ((e.id = activities.estate_id) AND ((e.owner_id = auth.uid()) OR (EXISTS ( SELECT 1
           FROM estate_members em
          WHERE ((em.estate_id = e.id) AND (em.user_id = auth.uid())))))))))"
public,activities,activities_select_access,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM estates e
  WHERE ((e.id = activities.estate_id) AND ((e.owner_id = auth.uid()) OR (EXISTS ( SELECT 1
           FROM estate_members em
          WHERE ((em.estate_id = e.id) AND (em.user_id = auth.uid()))))))))",null
public,annual_block_budgets,annual_block_budgets_delete_own,PERMISSIVE,{authenticated},DELETE,(owner_id = auth.uid()),null
public,annual_block_budgets,annual_block_budgets_insert_own,PERMISSIVE,{authenticated},INSERT,null,"((owner_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM (blocks b
     JOIN estates e ON ((e.id = b.estate_id)))
  WHERE ((b.id = annual_block_budgets.block_id) AND (b.estate_id = b.estate_id) AND (e.owner_id = auth.uid())))))"
public,annual_block_budgets,annual_block_budgets_select_own,PERMISSIVE,{authenticated},SELECT,(owner_id = auth.uid()),null
public,annual_block_budgets,annual_block_budgets_update_own,PERMISSIVE,{authenticated},UPDATE,(owner_id = auth.uid()),"((owner_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM (blocks b
     JOIN estates e ON ((e.id = b.estate_id)))
  WHERE ((b.id = annual_block_budgets.block_id) AND (b.estate_id = b.estate_id) AND (e.owner_id = auth.uid())))))"
public,annual_budget_categories,annual_budget_categories_delete_own,PERMISSIVE,{authenticated},DELETE,(owner_id = auth.uid()),null
public,annual_budget_categories,annual_budget_categories_insert_own,PERMISSIVE,{authenticated},INSERT,null,"((owner_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM estates e
  WHERE ((e.id = annual_budget_categories.estate_id) AND (e.owner_id = auth.uid())))))"
public,annual_budget_categories,annual_budget_categories_select_own,PERMISSIVE,{authenticated},SELECT,(owner_id = auth.uid()),null
public,annual_budget_categories,annual_budget_categories_update_own,PERMISSIVE,{authenticated},UPDATE,(owner_id = auth.uid()),"((owner_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM estates e
  WHERE ((e.id = annual_budget_categories.estate_id) AND (e.owner_id = auth.uid())))))"
public,annual_budgets,annual_budgets_delete_own,PERMISSIVE,{authenticated},DELETE,(owner_id = auth.uid()),null
public,annual_budgets,annual_budgets_insert_own,PERMISSIVE,{authenticated},INSERT,null,"((owner_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM estates e
  WHERE ((e.id = annual_budgets.estate_id) AND (e.owner_id = auth.uid())))))"
public,annual_budgets,annual_budgets_select_own,PERMISSIVE,{authenticated},SELECT,(owner_id = auth.uid()),null
public,annual_budgets,annual_budgets_update_own,PERMISSIVE,{authenticated},UPDATE,(owner_id = auth.uid()),"((owner_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM estates e
  WHERE ((e.id = annual_budgets.estate_id) AND (e.owner_id = auth.uid())))))"
public,blocks,blocks_delete_owner,PERMISSIVE,{authenticated},DELETE,"(EXISTS ( SELECT 1
   FROM estates e
  WHERE ((e.id = blocks.estate_id) AND (e.owner_id = auth.uid()))))",null
public,blocks,blocks_insert_owner,PERMISSIVE,{authenticated},INSERT,null,"(EXISTS ( SELECT 1
   FROM estates e
  WHERE ((e.id = blocks.estate_id) AND (e.owner_id = auth.uid()))))"
public,blocks,blocks_select_owner,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM estates e
  WHERE ((e.id = blocks.estate_id) AND (e.owner_id = auth.uid()))))",null
public,blocks,blocks_update_owner,PERMISSIVE,{authenticated},UPDATE,"(EXISTS ( SELECT 1
   FROM estates e
  WHERE ((e.id = blocks.estate_id) AND (e.owner_id = auth.uid()))))","(EXISTS ( SELECT 1
   FROM estates e
  WHERE ((e.id = blocks.estate_id) AND (e.owner_id = auth.uid()))))"
public,estate_members,members_select_own,PERMISSIVE,{authenticated},SELECT,(user_id = auth.uid()),null
public,estates,estates_delete_owner,PERMISSIVE,{authenticated},DELETE,(owner_id = auth.uid()),null
