schema_name,table_name,rls_enabled,rls_forced
public,activities,true,false
public,annual_block_budgets,true,false
public,annual_budget_categories,true,false
public,annual_budgets,true,false
public,blocks,true,false
public,estate_members,true,false
public,estates,true,false
public,fertilizer_execution_items,true,false
public,fertilizer_executions,true,false
public,fertilizer_program_items,true,false
public,fertilizer_programs,true,false
public,harvests,true,false
public,operations,true,false
public,plans,true,false
public,profiles,true,false
public,workspace_members,true,false
public,workspaces,true,false
